iter	Passed	Remaining
0	0	63
1	1	56
2	1	52
3	2	48
4	2	47
5	3	47
6	3	46
7	4	46
8	4	45
9	5	47
10	6	51
11	6	51
12	7	50
13	8	49
14	9	55
15	10	54
16	11	54
17	12	55
18	12	54
19	13	53
20	13	51
21	14	50
22	14	49
23	15	49
24	16	49
25	16	48
26	17	47
27	18	47
28	19	48
29	20	48
30	22	50
31	23	49
32	23	48
33	26	50
34	27	50
35	27	49
36	28	48
37	29	47
38	30	47
39	30	45
40	31	44
41	31	43
42	31	42
43	32	41
44	33	40
45	33	39
46	34	38
47	34	37
48	35	37
49	36	36
50	37	35
51	38	35
52	39	34
53	39	34
54	40	32
55	40	32
56	41	31
57	42	30
58	43	29
59	43	29
60	44	28
61	44	27
62	45	26
63	45	25
64	46	24
65	46	24
66	47	23
67	48	22
68	48	21
69	49	21
70	50	20
71	51	19
72	52	19
73	52	18
74	53	17
75	54	17
76	55	16
77	56	15
78	57	15
79	58	14
80	58	13
81	59	13
82	59	12
83	61	11
84	62	10
85	62	10
86	64	9
87	64	8
88	65	8
89	66	7
90	67	6
91	68	5
92	69	5
93	70	4
94	71	3
95	71	2
96	72	2
97	73	1
98	74	0
99	74	0
